id,user_id,restaurant_id,order_date,order_time,status,subtotal,delivery_fee,discount_amount,order_total,items_count,city
1,324,12,2025-04-10,12:04:00,completed,87.83,2.68,2.42,88.09,2,Boston
2,22,21,2025-08-13,14:32:00,completed,78.34,4.87,0.44,82.77,6,Austin
3,98,19,2024-01-01,23:49:00,completed,66.52,3.87,9.59,60.80,4,Seattle
4,205,48,2024-03-26,16:21:00,refunded,0.00,0.00,0.00,0.00,0,Los Angeles
5,255,45,2024-05-24,15:59:00,completed,37.74,2.91,5.09,35.56,4,Atlanta
6,309,12,2024-07-12,14:20:00,completed,42.27,3.98,5.35,40.90,6,Boston
7,219,11,2024-12-07,17:22:00,completed,71.78,7.06,7.38,71.46,4,Boston
8,141,41,2025-03-21,10:04:00,completed,48.06,5.07,9.00,44.13,2,Atlanta
9,16,10,2025-05-19,19:43:00,completed,20.58,2.84,9.34,14.08,3,Chicago
10,186,25,2025-08-30,19:02:00,completed,68.25,7.24,4.46,71.03,1,Austin
11,294,9,2024-06-26,15:25:00,completed,38.62,7.30,0.31,45.61,2,Chicago
12,256,34,2024-02-01,18:07:00,completed,37.26,4.73,11.96,30.03,3,San Francisco
13,252,13,2023-05-06,12:54:00,completed,30.78,6.07,11.97,24.88,6,Boston
14,164,43,2023-12-22,21:04:00,completed,39.49,4.00,1.89,41.60,6,Atlanta
15,327,12,2025-03-23,15:32:00,completed,90.90,6.46,2.84,94.52,4,Boston
16,14,24,2024-07-21,19:23:00,completed,90.74,3.15,10.61,83.28,1,Austin
17,159,26,2025-01-04,21:30:00,completed,74.92,6.62,0.89,80.65,3,Miami
18,329,5,2024-04-05,17:43:00,completed,27.50,6.65,6.62,27.53,5,New York
19,94,50,2023-05-13,16:32:00,cancelled,0.00,0.00,0.00,0.00,0,Los Angeles
20,29,8,2024-06-14,12:19:00,completed,41.88,6.05,4.15,43.78,5,Chicago
21,146,6,2023-09-14,13:40:00,refunded,0.00,0.00,0.00,0.00,0,Chicago
22,141,9,2024-10-02,14:39:00,completed,55.19,3.34,11.30,47.23,2,Chicago
23,88,43,2024-10-01,21:57:00,completed,80.35,5.32,9.90,75.77,1,Atlanta
24,42,3,2025-08-29,20:49:00,completed,66.18,6.33,5.00,67.51,6,New York
25,16,32,2025-06-29,20:34:00,completed,88.79,4.91,9.66,84.04,6,San Francisco
26,208,20,2024-04-09,11:44:00,completed,50.53,4.92,2.45,53.00,5,Seattle
27,74,21,2025-06-01,21:20:00,completed,81.70,7.38,1.57,87.51,3,Austin
28,264,36,2023-04-19,15:15:00,completed,37.79,3.74,1.16,40.37,3,Denver
29,197,40,2024-03-04,13:55:00,cancelled,0.00,0.00,0.00,0.00,0,Denver
30,168,37,2025-01-08,15:12:00,completed,54.87,5.07,5.99,53.95,3,Denver
31,255,2,2023-04-03,16:32:00,completed,35.81,5.42,0.58,40.65,3,New York
32,254,39,2025-06-22,23:41:00,completed,39.15,2.54,1.29,40.40,2,Denver
33,136,47,2024-01-10,22:25:00,completed,47.64,5.35,2.34,50.65,5,Los Angeles
34,148,5,2024-01-31,18:28:00,completed,38.70,7.45,8.16,37.99,1,New York
35,66,7,2024-02-08,15:50:00,refunded,0.00,0.00,0.00,0.00,0,Chicago
36,286,24,2025-02-12,12:12:00,completed,47.70,2.70,0.47,49.93,6,Austin
37,171,31,2024-06-15,17:09:00,completed,56.15,4.14,7.36,52.93,2,San Francisco
38,202,40,2025-01-27,23:19:00,completed,55.54,5.05,5.88,54.71,5,Denver
39,154,31,2025-04-15,10:23:00,completed,26.11,4.58,3.69,27.00,6,San Francisco
40,323,2,2024-09-03,17:16:00,refunded,0.00,0.00,0.00,0.00,0,New York
41,297,37,2023-08-22,21:03:00,completed,30.62,5.65,7.44,28.83,4,Denver
42,76,44,2023-09-06,10:36:00,refunded,0.00,0.00,0.00,0.00,0,Atlanta
43,57,13,2023-01-20,17:20:00,completed,48.56,3.52,6.02,46.06,5,Boston
44,242,48,2025-01-14,10:45:00,completed,33.34,4.13,7.95,29.52,5,Los Angeles
45,193,21,2023-06-27,17:58:00,completed,58.42,5.88,10.41,53.89,6,Austin
46,330,45,2023-09-28,19:30:00,completed,36.24,5.29,2.70,38.83,3,Atlanta
47,148,46,2023-08-01,21:45:00,completed,53.51,5.30,11.21,47.60,6,Los Angeles
48,141,19,2023-05-05,19:43:00,completed,84.29,4.47,4.14,84.62,2,Seattle
49,149,3,2023-10-22,21:05:00,completed,50.74,3.78,5.75,48.77,2,New York
50,276,18,2025-08-13,18:44:00,completed,26.08,6.20,2.87,29.41,1,Seattle
51,343,34,2023-08-20,20:14:00,completed,48.58,6.09,1.21,53.46,2,San Francisco
52,3,36,2025-08-09,12:26:00,completed,83.17,4.88,7.81,80.24,3,Denver
53,165,19,2024-10-23,10:58:00,completed,66.27,3.66,8.86,61.07,1,Seattle
54,90,27,2025-06-22,23:11:00,refunded,0.00,0.00,0.00,0.00,0,Miami
55,19,26,2025-03-17,17:11:00,refunded,0.00,0.00,0.00,0.00,0,Miami
56,149,3,2023-01-10,14:36:00,completed,86.71,4.18,5.45,85.44,6,New York
57,279,34,2024-05-20,12:54:00,completed,38.19,6.54,3.97,40.76,6,San Francisco
58,235,42,2023-09-21,21:11:00,completed,42.95,3.98,8.09,38.84,2,Atlanta
59,90,40,2025-05-26,20:57:00,completed,49.65,4.14,4.81,48.98,1,Denver
60,95,9,2024-05-03,15:59:00,completed,37.30,3.68,9.05,31.93,3,Chicago
61,155,38,2025-01-10,19:00:00,completed,44.61,3.68,8.01,40.28,4,Denver
62,158,11,2024-02-20,20:32:00,refunded,0.00,0.00,0.00,0.00,0,Boston
63,160,45,2023-05-01,20:58:00,refunded,0.00,0.00,0.00,0.00,0,Atlanta
64,189,40,2023-08-15,13:08:00,completed,51.67,7.44,4.48,54.63,6,Denver
65,282,31,2025-02-14,18:51:00,completed,34.16,3.74,9.06,28.84,1,San Francisco
66,270,29,2024-06-24,21:23:00,completed,59.75,2.81,6.57,55.99,5,Miami
67,104,37,2024-07-03,12:10:00,completed,56.51,3.08,2.46,57.13,5,Denver
68,251,6,2025-07-09,18:28:00,cancelled,0.00,0.00,0.00,0.00,0,Chicago
69,233,9,2024-06-09,16:29:00,completed,59.35,5.86,3.70,61.51,1,Chicago
70,203,17,2025-04-16,10:47:00,completed,23.40,4.62,8.40,19.62,5,Seattle
71,31,5,2025-08-14,17:02:00,completed,31.32,3.18,7.70,26.80,6,New York
72,331,27,2024-01-19,16:28:00,cancelled,0.00,0.00,0.00,0.00,0,Miami
73,194,25,2023-03-24,20:42:00,cancelled,0.00,0.00,0.00,0.00,0,Austin
74,69,42,2025-05-30,15:07:00,completed,57.76,5.14,8.73,54.17,2,Atlanta
75,2,49,2023-01-24,14:29:00,completed,58.29,5.16,9.88,53.57,2,Los Angeles
76,236,23,2023-06-08,14:12:00,refunded,0.00,0.00,0.00,0.00,0,Austin
77,58,3,2025-04-08,20:26:00,completed,87.28,6.95,2.89,91.34,1,New York
78,52,39,2023-02-04,17:38:00,completed,82.54,3.72,0.53,85.73,4,Denver
79,120,35,2023-08-11,22:55:00,completed,28.37,7.47,2.81,33.03,6,San Francisco
80,295,21,2024-08-14,19:49:00,completed,41.73,4.01,1.72,44.02,6,Austin
81,267,15,2024-02-28,14:17:00,completed,88.19,6.90,10.94,84.15,6,Boston
82,348,28,2024-07-23,17:03:00,refunded,0.00,0.00,0.00,0.00,0,Miami
83,330,43,2024-01-26,22:33:00,completed,48.81,3.25,4.52,47.54,5,Atlanta
84,243,16,2025-05-19,13:19:00,cancelled,0.00,0.00,0.00,0.00,0,Seattle
85,74,30,2025-07-25,10:35:00,completed,48.82,5.15,4.66,49.31,3,Miami
86,105,22,2024-10-24,11:59:00,completed,45.46,5.18,9.95,40.69,1,Austin
87,138,25,2024-11-20,19:38:00,completed,23.39,6.52,7.05,22.86,6,Austin
88,287,14,2024-05-05,13:55:00,cancelled,0.00,0.00,0.00,0.00,0,Boston
89,156,1,2023-08-05,13:47:00,completed,91.97,4.89,2.91,93.95,5,New York
90,105,26,2025-07-26,13:35:00,completed,38.95,4.83,7.78,36.00,3,Miami
91,134,24,2024-06-09,17:29:00,completed,90.62,4.85,10.08,85.39,2,Austin
92,190,21,2024-02-28,10:36:00,cancelled,0.00,0.00,0.00,0.00,0,Austin
93,75,2,2023-09-25,18:59:00,completed,71.28,3.98,2.35,72.91,2,New York
94,195,37,2025-05-03,13:31:00,completed,87.82,4.19,9.16,82.85,4,Denver
95,329,48,2024-05-17,17:10:00,completed,44.06,3.20,6.56,40.70,2,Los Angeles
96,278,42,2023-03-02,18:02:00,cancelled,0.00,0.00,0.00,0.00,0,Atlanta
97,39,43,2023-02-19,22:00:00,completed,80.35,3.66,8.49,75.52,1,Atlanta
98,112,33,2024-04-11,15:03:00,completed,67.34,5.58,5.80,67.12,4,San Francisco
99,9,1,2024-06-28,18:26:00,completed,57.18,3.87,11.73,49.32,1,New York
100,258,45,2024-11-21,16:51:00,refunded,0.00,0.00,0.00,0.00,0,Atlanta
101,92,7,2025-07-29,11:33:00,completed,32.20,5.13,9.78,27.55,3,Chicago
102,204,6,2024-01-18,16:29:00,completed,91.28,3.63,8.21,86.70,1,Chicago
103,335,42,2025-02-16,10:05:00,completed,45.91,4.88,7.64,43.15,6,Atlanta
104,88,6,2024-05-26,23:27:00,completed,42.51,7.39,11.69,38.21,5,Chicago
105,22,15,2023-08-05,23:44:00,cancelled,0.00,0.00,0.00,0.00,0,Boston
106,244,18,2023-02-17,11:43:00,refunded,0.00,0.00,0.00,0.00,0,Seattle
107,279,37,2024-11-04,10:11:00,refunded,0.00,0.00,0.00,0.00,0,Denver
108,162,2,2023-08-01,19:09:00,completed,70.74,4.49,0.92,74.31,2,New York
109,289,16,2024-08-03,23:54:00,completed,84.34,4.16,9.07,79.43,2,Seattle
110,41,33,2025-02-02,15:03:00,completed,35.18,2.88,7.26,30.80,5,San Francisco
111,305,26,2025-03-03,15:01:00,completed,75.98,4.75,2.74,77.99,5,Miami
112,193,28,2023-07-10,20:37:00,completed,24.34,5.59,9.58,20.35,6,Miami
113,38,6,2023-10-02,12:24:00,completed,64.91,6.20,3.80,67.31,1,Chicago
114,47,1,2025-08-23,14:28:00,completed,37.96,3.16,2.25,38.87,4,New York
115,286,36,2024-06-08,16:06:00,completed,44.19,2.97,7.18,39.98,3,Denver
116,198,1,2023-10-26,16:24:00,completed,71.64,5.30,11.91,65.03,2,New York
117,293,34,2023-06-23,20:24:00,completed,37.90,3.84,1.75,39.99,2,San Francisco
118,223,18,2024-03-07,14:30:00,completed,44.72,7.22,8.65,43.29,4,Seattle
119,305,40,2023-07-20,17:06:00,completed,18.50,4.48,10.10,12.88,4,Denver
120,169,29,2023-12-09,16:52:00,cancelled,0.00,0.00,0.00,0.00,0,Miami
121,334,39,2023-05-20,14:20:00,completed,69.45,4.90,2.13,72.22,4,Denver
122,164,19,2025-01-22,21:40:00,completed,60.62,3.71,4.51,59.82,4,Seattle
123,187,8,2025-08-12,19:12:00,completed,58.38,5.91,6.60,57.69,6,Chicago
124,237,46,2023-08-03,17:51:00,completed,69.27,6.59,9.55,66.31,4,Los Angeles
125,345,32,2023-05-23,20:19:00,completed,66.74,6.08,9.47,63.35,1,San Francisco
126,230,39,2024-05-05,19:25:00,completed,86.34,6.85,5.02,88.17,1,Denver
127,185,45,2025-07-05,22:34:00,completed,85.67,3.05,2.98,85.74,6,Atlanta
128,182,11,2024-10-24,19:02:00,completed,65.73,5.73,11.60,59.86,3,Boston
129,221,7,2023-01-11,11:16:00,completed,73.27,5.29,8.25,70.31,2,Chicago
130,229,24,2024-02-05,17:49:00,completed,69.09,3.25,11.97,60.37,4,Austin
131,54,19,2024-03-01,11:07:00,cancelled,0.00,0.00,0.00,0.00,0,Seattle
132,73,23,2023-11-16,15:29:00,completed,56.56,4.24,1.17,59.63,6,Austin
