id,order_id,item_name,quantity,unit_price
1,1,Pad Thai,3,8.30
2,1,Satay Skewers,3,20.24
3,2,Satay Skewers,2,14.13
4,2,Pad Thai,2,10.87
5,2,Satay Skewers,1,8.71
6,2,Thai Basil Noodles,2,12.71
7,2,Pad Thai,2,15.87
8,2,Tom Yum Soup,2,16.95
9,3,Satay Skewers,2,13.14
10,3,Green Curry,3,11.91
11,3,Green Curry,3,10.74
12,3,Satay Skewers,2,7.62
13,5,Garlic Bread,2,9.91
14,5,Pesto Pasta,1,19.69
15,5,Caprese Salad,1,13.75
16,5,Margherita Pizza,1,11.76
17,6,Green Curry,2,10.62
18,6,Satay Skewers,3,9.48
19,6,Tom Yum Soup,3,15.49
20,6,Tom Yum Soup,2,17.20
21,6,Pad Thai,3,14.91
22,6,Thai Basil Noodles,3,20.26
23,7,Falafel Wrap,3,18.08
24,7,Cucumber Salad,3,16.39
25,7,Cucumber Salad,2,9.62
26,7,Hummus Platter,3,11.98
27,8,Pho Bowl,3,16.15
28,8,Vietnamese Iced Coffee,2,10.68
29,9,Spring Rolls,2,19.09
30,9,Veggie Dumplings,3,21.41
31,9,Fried Rice,2,21.53
32,10,Paneer Tikka,2,17.10
33,11,Loaded Fries,3,10.90
34,11,Chicken Sandwich,2,21.17
35,12,Cheeseburger,3,10.97
36,12,Cheeseburger,3,19.52
37,12,Chicken Burger,2,13.34
38,13,Quesadilla,3,11.35
39,13,Guacamole Chips,3,13.12
40,13,Chicken Enchiladas,3,11.37
41,13,Quesadilla,2,13.28
42,13,Quesadilla,3,18.62
43,13,Quesadilla,1,12.69
44,14,Green Curry,2,12.84
45,14,Satay Skewers,2,13.16
46,14,Thai Basil Noodles,3,13.01
47,14,Pad Thai,2,10.50
48,14,Tom Yum Soup,1,8.64
49,14,Tom Yum Soup,2,12.83
50,15,Thai Basil Noodles,3,20.58
51,15,Thai Basil Noodles,2,20.82
52,15,Thai Basil Noodles,2,14.82
53,15,Tom Yum Soup,1,18.45
54,16,Tempura Udon,1,12.15
55,17,Quesadilla,3,12.99
56,17,Quesadilla,2,10.12
57,17,Tacos,1,14.03
58,18,Greek Bowl,1,10.95
59,18,Cucumber Salad,1,11.33
60,18,Shawarma Plate,1,20.94
61,18,Greek Bowl,1,21.87
62,18,Greek Bowl,3,15.34
63,20,Hummus Platter,1,18.91
64,20,Hummus Platter,2,19.26
65,20,Greek Bowl,2,20.26
66,20,Hummus Platter,3,19.16
67,20,Shawarma Plate,3,13.44
68,22,Caesar Salad,1,9.00
69,22,Classic Burger,1,15.19
70,23,Pad Thai,2,21.04
71,24,Loaded Burger,1,9.55
72,24,Cheeseburger,1,12.80
73,24,Chicken Burger,2,8.83
74,24,Chicken Burger,2,12.08
75,24,Smash Burger,2,19.25
76,24,Loaded Burger,3,20.41
77,25,Miso Soup,3,18.98
78,25,Sushi Combo,2,19.66
79,25,Miso Soup,1,9.12
80,25,Teriyaki Bowl,3,21.39
81,25,Salmon Roll,3,15.12
82,25,Sushi Combo,3,19.31
83,26,Hummus Platter,2,14.16
84,26,Hummus Platter,3,13.69
85,26,Greek Bowl,2,10.21
86,26,Shawarma Plate,1,9.11
87,26,Falafel Wrap,3,19.41
88,27,Tom Yum Soup,1,19.22
89,27,Thai Basil Noodles,1,7.85
90,27,Tom Yum Soup,2,16.85
91,28,Pho Bowl,1,7.86
92,28,Banh Mi,2,19.83
93,28,Banh Mi,3,9.34
94,30,Quesadilla,1,12.10
95,30,Tacos,1,13.63
96,30,Chicken Enchiladas,2,10.76
97,31,Spring Rolls,3,18.90
98,31,Veggie Dumplings,2,15.12
99,31,Kung Pao Chicken,2,21.81
100,32,Salmon Roll,1,9.25
101,32,Miso Soup,3,12.48
102,33,Smash Burger,3,18.67
103,33,Smash Burger,3,7.89
104,33,Smash Burger,3,17.96
105,33,Onion Rings,1,12.45
106,33,Loaded Burger,3,12.57
107,34,Hummus Platter,1,9.64
108,36,Teriyaki Bowl,3,17.48
109,36,Miso Soup,1,17.57
110,36,Teriyaki Bowl,3,16.19
111,36,Teriyaki Bowl,1,11.64
112,36,Miso Soup,3,17.49
113,36,Teriyaki Bowl,2,10.75
114,37,Paneer Tikka,2,13.65
115,37,Chana Masala,2,21.50
116,38,Guacamole Chips,2,8.82
117,38,Burrito Bowl,3,21.56
118,38,Burrito Bowl,3,10.20
119,38,Chicken Enchiladas,2,18.85
120,38,Burrito Bowl,3,19.12
121,39,Paneer Tikka,2,8.06
122,39,Butter Chicken,2,9.30
123,39,Masala Dosa,1,12.60
124,39,Chana Masala,1,20.36
125,39,Chana Masala,3,15.57
126,39,Paneer Tikka,3,8.79
127,41,Guacamole Chips,3,18.93
128,41,Guacamole Chips,3,18.47
